Country Code,RMSE
AFG,2.683898393327984
AGO,1.1427661283665844
ALB,2.034373688363853
ARE,1.0357468545829391
ARG,0.908363305903102
ARM,3.826855299127542
AUS,0.911004217295979
AZE,2.2198255411062475
BDI,0.8607561342993238
BEL,0.13353026877098453
BEN,2.5286426381728813
BFA,2.0227439747794613
BGD,0.8237249332033907
BGR,0.5870268711112595
BHR,2.5121089873600098
BHS,0.8552545517731839
BIH,2.803945690946137
BLR,0.1465250413184701
BOL,1.873920479036362
BRA,0.6769766937683118
BRN,1.5481666916679633
BTN,2.059783910688877
BWA,0.6445066447523636
CAF,2.601432549167819
CAN,1.6789051828872987
CHE,1.581487314814047
CHL,1.8309888094564386
CHN,0.35257365745493663
CMR,1.8610229585369427
COD,0.8549253766055077
COG,1.1508092954093772
COL,0.22857666641691163
COM,3.4906968064578785
CPV,1.785273230136407
CRI,2.8657833402369617
CUB,2.0057631653091654
CYP,4.095572551434957
CZE,1.2956616856607115
DEU,1.1232409041376952
DJI,1.4762390052658734
DMA,1.3693079156816277
DNK,0.6098918847943977
DOM,2.9960542067712916
DZA,0.08389590746336438
ECU,3.386059932134335
EGY,4.852610453525712
ERI,1.9921049735274907
ESP,0.10843804592527
EST,1.4986666049951793
ETH,0.16895318967821688
FIN,0.7276945520434722
FJI,0.9881089481242411
FRA,0.27266757287460996
GAB,0.2029591832084827
GBR,0.8747325080680398
GEO,1.3888955994116903
GHA,0.6583378628059301
GIN,2.7321685802077083
GMB,1.4104245269030424
GNB,3.4431316825701312
GNQ,0.7351959293840815
GRC,0.41016785181064486
GRD,2.677117115747581
GTM,2.081570053539216
HND,0.8482618572912516
HRV,1.9497754089420007
HTI,0.3819591240297375
HUN,0.08775428269268162
IDN,1.6075697937053286
IND,3.6516852379735174
IRL,1.2639528314780888
IRN,0.28633037927796207
IRQ,1.794307197003351
ISL,0.8452619915555702
ISR,0.6562597692009263
ITA,0.307361595757434
JAM,2.5109452877226675
JOR,1.382138119187393
JPN,1.1533196084523976
KAZ,3.568656954126721
KEN,1.207250012323982
KHM,0.8669234979931183
KIR,0.28907138593306886
KOR,1.9375382790400972
LAO,1.65960738316896
LBN,1.7834141852621672
LBR,1.7792147768907425
LBY,0.8509377040230478
LKA,2.945230690001364
LSO,2.621535854247727
LTU,1.9768823798297868
LUX,0.15195173419325275
LVA,1.9425857895291887
MAR,1.096786251739243
MDA,3.087487990225229
MDG,0.500348949384803
MEX,0.5444719789532183
MKD,3.226452821284184
MLI,0.22335945763971732
MMR,2.915526369384949
MNE,2.659343420330995
MNG,3.4227758915001028
MOZ,2.4984586253131296
MRT,0.49929088321323084
MUS,5.27882784087865
MWI,2.1103086912201845
MYS,0.5885560567686196
NER,2.9559448335693492
NGA,0.17820652515750252
NIC,2.64394121482856
NLD,1.3283220187376328
NOR,0.8386763939593914
NPL,1.8971130747802898
NZL,1.2226540623828077
OMN,3.8286866529292225
PAK,2.9609371064735477
PAN,1.6149443898930163
PER,1.5218472319062735
PHL,3.129724607966625
PNG,2.522317832019857
POL,3.371536016246373
PRT,0.21659670326252106
PRY,2.650815955070645
PSE,1.2893038765649143
QAT,0.09369718733108205
ROU,3.0573709386311427
RUS,0.6740424570498246
RWA,4.731629063124244
SAU,1.2604379502250773
SDN,3.4972617426133867
SEN,1.789364235002539
SLB,0.8266922013828278
SLE,1.979106559067137
SLV,1.064804271384503
SOM,0.560645327962311
SSD,1.7641720603255129
STP,1.720149495164996
SUR,3.7871343539470006
SVK,3.7496200475504304
SVN,1.8609741405913247
SWE,0.4479596373738359
SWZ,3.073397066179383
SYR,5.5577680913545136
TCD,2.861780100063187
TGO,1.6927919062046055
THA,0.6344527665294291
TKM,1.659201312649677
TLS,2.192965522533256
TTO,8.218983968662553
TUN,2.161515727290156
TUR,0.19439825979534234
TZA,0.8528367647282049
UGA,0.7421322615618353
UKR,2.4727805970916097
URY,0.5076745310692263
USA,0.8059436514986353
UZB,4.8496142008840515
VCT,1.388826279471798
VEN,2.1793680877782857
VNM,0.17982750373077375
VUT,3.415237933518239
YEM,1.7840034942633793
ZAF,0.23200761340957782
ZMB,1.1091491395691786
ZWE,5.5572439079556
